timestamp,fps
1595317823,0
1595317825,60
1595317827,101
1595317829,67
1595317831,57
1595317833,66
1595317835,82
1595317837,60
1595317839,48
1595317841,51
1595317843,59
1595317845,67
1595317847,57
1595317849,50
1595317851,44
1595317853,42
